workload,backend,eat_type,arc_count,commit_ms,update_ms,eat_lookup_ms,prove_ms,verify_ms,end_to_end_ms,proof_size,root_size,rewrite_amp
random,ipa,overwrite,50,0,0,122,27397,3607,31127,548,39,1.0000
random,ipa,overwrite,100,1,1,125,27577,3705,31409,548,39,1.0000
random,ipa,overwrite,200,3,2,121,27389,3824,31335,548,39,1.0000
