workload,backend,eat_type,arc_count,commit_ms,update_ms,eat_lookup_ms,prove_ms,verify_ms,end_to_end_ms,proof_size,root_size,rewrite_amp
bulk,verkle,overwrite,50,0,0,119,2,1,123,67,38,5.0000
bulk,verkle,overwrite,100,0,0,120,3,1,125,67,38,10.0000
bulk,verkle,overwrite,200,0,0,118,2,1,122,67,38,20.0000
