workload,backend,eat_type,arc_count,commit_ms,update_ms,eat_lookup_ms,prove_ms,verify_ms,end_to_end_ms,proof_size,root_size,rewrite_amp
bulk,ipa,bloom,50,0,0,1917762,27545,4224,1949533,548,39,5.0000
bulk,ipa,bloom,100,1,1,2924742,28070,4230,2957044,548,39,10.0000
bulk,ipa,bloom,200,3,2,5819191,28658,4248,5852097,548,39,20.0000
